date,label,nb_hits,sum_time_spent,avg_page_load_time,bounce_rate,exit_rate,entrances,bounces
2024-09-18,about,32,362.9,0.826,22.9%,41.1%,3,7
2024-09-18,contact,53,609.27,0.652,18.3%,16.6%,49,9
2024-09-18,home,60,480.44,0.97,36.3%,13.9%,36,21
2024-09-18,services,20,233.44,0.665,13.5%,55.8%,14,2
2024-09-18,blog,16,113.74,0.984,67.3%,46.9%,4,10
2024-09-18,faq,11,86.94,0.544,55.5%,10.7%,11,6
2024-09-18,pricing,27,242.21,0.613,38.4%,18.7%,4,10
2024-09-18,testimonials,4,36.35,1.27,61.4%,42.9%,3,2
2024-09-19,about,47,505.66,0.906,50.6%,38.7%,32,23
2024-09-19,contact,44,385.98,0.918,67.7%,55.3%,43,29
2024-09-19,home,55,460.47,0.778,47.1%,26.8%,25,25
2024-09-19,services,22,177.47,0.729,51.8%,41.4%,3,11
2024-09-19,blog,14,159.83,0.906,17.7%,22.5%,7,2
2024-09-19,faq,14,142.05,0.578,54.4%,21.9%,13,7
2024-09-19,pricing,7,66.4,0.774,67.0%,38.7%,6,4
2024-09-19,testimonials,2,13.68,0.854,66.8%,49.1%,2,1
2024-09-20,about,25,227.84,0.665,36.5%,54.4%,10,9
2024-09-20,contact,49,445.08,0.812,35.6%,21.1%,8,17
2024-09-20,home,68,729.74,0.705,66.8%,59.3%,3,45
2024-09-20,services,23,126.28,0.73,52.3%,22.4%,18,12
2024-09-20,blog,15,119.65,0.79,17.1%,15.9%,8,2
2024-09-20,faq,12,98.28,0.516,38.7%,14.1%,0,4
2024-09-20,pricing,5,48.55,0.811,41.4%,41.5%,5,2
2024-09-20,testimonials,7,53.81,0.753,30.1%,18.5%,3,2
2024-09-21,about,24,188.67,0.83,68.5%,59.3%,21,16
2024-09-21,contact,30,240.92,0.719,14.6%,57.0%,18,4
2024-09-21,home,46,462.32,0.774,62.0%,12.3%,32,28
2024-09-21,services,21,169.6,1.087,59.7%,38.5%,0,12
2024-09-21,blog,10,90.08,0.809,56.1%,57.2%,9,5
2024-09-21,faq,5,47.52,0.899,12.8%,23.4%,1,0
2024-09-21,pricing,8,88.76,0.722,48.4%,50.3%,6,3
2024-09-21,testimonials,1,10.59,0.448,33.5%,31.9%,0,0
2024-09-22,about,28,288.37,0.779,27.9%,36.2%,16,7
2024-09-22,contact,44,395.03,0.959,25.5%,33.0%,33,11
2024-09-22,home,44,420.79,0.526,30.5%,36.9%,22,13
2024-09-22,services,12,114.6,0.612,20.9%,27.3%,2,2
2024-09-22,blog,11,90.7,1.009,30.9%,11.6%,5,3
2024-09-22,faq,6,58.63,1.041,14.9%,53.7%,6,0
2024-09-22,pricing,0,0.0,0.807,42.2%,56.2%,0,0
2024-09-22,testimonials,4,41.2,0.894,55.0%,11.5%,1,2
2024-09-23,about,34,264.66,0.619,32.6%,11.0%,16,11
2024-09-23,contact,39,449.7,0.976,57.4%,34.9%,35,22
2024-09-23,home,61,508.69,1.116,17.7%,24.2%,5,10
2024-09-23,services,33,296.44,0.472,29.8%,56.7%,21,9
2024-09-23,blog,13,132.55,0.829,10.3%,58.8%,13,1
2024-09-23,faq,6,54.89,0.95,44.3%,24.0%,3,2
2024-09-23,pricing,11,86.66,0.372,42.9%,37.4%,1,4
2024-09-23,testimonials,7,69.06,0.759,59.8%,58.3%,5,4
2024-09-24,about,29,268.98,0.871,12.9%,49.1%,10,3
2024-09-24,contact,51,434.64,0.736,58.9%,43.3%,25,30
2024-09-24,home,72,832.6,0.965,37.1%,45.7%,31,26
2024-09-24,services,24,216.66,1.135,23.9%,55.0%,22,5
2024-09-24,blog,8,44.53,1.086,30.0%,46.5%,3,2
2024-09-24,faq,13,135.84,0.816,57.3%,17.6%,0,7
2024-09-24,pricing,7,54.82,0.361,46.2%,35.1%,7,3
2024-09-24,testimonials,6,47.04,0.551,20.9%,55.4%,5,1
2024-09-25,about,30,306.62,0.5,64.7%,17.0%,17,19
2024-09-25,contact,47,548.64,0.918,65.3%,45.4%,41,30
2024-09-25,home,67,539.94,0.701,21.2%,51.9%,0,14
2024-09-25,services,32,206.76,1.106,13.3%,26.8%,25,4
2024-09-25,blog,14,121.17,0.926,30.8%,46.9%,0,4
2024-09-25,faq,11,95.85,0.863,44.7%,18.3%,4,4
2024-09-25,pricing,5,39.01,0.767,69.8%,35.1%,0,3
2024-09-25,testimonials,6,63.77,0.721,45.2%,24.7%,2,2
2024-09-26,about,34,200.0,0.552,43.6%,17.8%,0,14
2024-09-26,contact,42,325.79,0.984,63.8%,36.3%,32,26
2024-09-26,home,65,655.36,0.574,11.2%,15.2%,50,7
2024-09-26,services,27,233.27,0.725,53.3%,52.8%,10,14
2024-09-26,blog,23,148.58,0.62,15.2%,41.7%,0,3
2024-09-26,faq,7,66.42,0.55,35.3%,54.6%,6,2
2024-09-26,pricing,7,59.15,0.894,68.5%,49.0%,0,4
2024-09-26,testimonials,5,47.31,0.458,48.0%,22.9%,5,2
2024-09-27,about,38,404.87,1.03,59.4%,36.5%,35,22
2024-09-27,contact,45,400.34,0.284,53.2%,15.3%,21,23
2024-09-27,home,70,804.87,1.003,20.5%,55.7%,25,14
2024-09-27,services,23,143.01,0.602,67.5%,19.2%,20,15
2024-09-27,blog,12,91.38,0.53,53.1%,24.9%,2,6
2024-09-27,faq,17,108.25,0.775,42.4%,18.1%,10,7
2024-09-27,pricing,10,85.38,0.668,58.4%,58.1%,0,5
2024-09-27,testimonials,10,67.1,0.788,69.3%,57.2%,9,6
2024-09-28,about,25,197.51,0.728,53.9%,19.6%,7,13
2024-09-28,contact,31,257.36,0.977,59.7%,11.9%,30,18
2024-09-28,home,39,410.6,0.79,41.8%,32.1%,22,16
2024-09-28,services,9,100.53,0.839,29.1%,41.3%,9,2
2024-09-28,blog,10,83.44,0.563,66.0%,13.5%,3,6
2024-09-28,faq,2,25.79,0.67,26.3%,29.9%,1,0
2024-09-28,pricing,4,29.96,0.59,24.0%,12.1%,0,0
2024-09-28,testimonials,2,15.14,0.745,67.4%,49.9%,0,1
2024-09-29,about,16,199.43,0.667,20.0%,59.6%,7,3
2024-09-29,contact,43,405.65,1.291,23.8%,18.8%,25,10
2024-09-29,home,49,349.19,0.914,41.1%,39.9%,48,20
2024-09-29,services,13,132.52,1.01,19.2%,50.8%,5,2
2024-09-29,blog,13,73.21,0.624,26.4%,33.8%,2,3
2024-09-29,faq,8,71.6,1.159,14.9%,21.0%,4,1
2024-09-29,pricing,8,85.22,0.813,24.7%,17.9%,8,1
2024-09-29,testimonials,3,22.82,0.919,62.9%,58.1%,0,1
2024-09-30,about,27,215.07,0.899,59.1%,51.6%,11,15
2024-09-30,contact,48,478.47,1.233,56.8%,15.3%,29,27
2024-09-30,home,69,678.67,0.659,57.3%,18.7%,67,39
2024-09-30,services,22,202.39,0.66,30.8%,41.0%,17,6
2024-09-30,blog,18,204.27,0.787,51.0%,32.3%,13,9
2024-09-30,faq,10,102.51,0.701,56.4%,21.5%,10,5
2024-09-30,pricing,11,78.35,1.089,61.9%,33.7%,7,6
2024-09-30,testimonials,2,17.52,0.563,41.8%,10.9%,0,0
2024-10-01,about,27,250.96,0.942,57.8%,34.1%,13,15
2024-10-01,contact,47,448.77,0.484,23.5%,18.0%,21,11
2024-10-01,home,62,498.98,0.999,37.3%,10.6%,17,23
2024-10-01,services,28,303.04,0.948,67.2%,55.4%,10,18
2024-10-01,blog,9,113.43,0.795,52.1%,38.0%,1,4
2024-10-01,faq,8,69.03,0.664,12.0%,13.9%,5,0
2024-10-01,pricing,8,92.42,1.077,46.8%,24.9%,7,3
2024-10-01,testimonials,10,86.67,0.557,53.5%,39.7%,8,5
2024-10-02,about,43,420.72,0.685,49.5%,34.9%,17,21
2024-10-02,contact,42,324.87,0.797,34.2%,21.0%,14,14
2024-10-02,home,54,518.34,0.929,54.6%,31.3%,3,29
2024-10-02,services,29,396.06,0.869,40.8%,39.4%,25,11
2024-10-02,blog,15,131.12,0.977,26.6%,39.6%,5,3
2024-10-02,faq,9,97.83,0.775,24.1%,48.8%,3,2
2024-10-02,pricing,8,45.19,0.847,45.6%,18.2%,8,3
2024-10-02,testimonials,5,44.65,0.895,24.2%,13.7%,5,1
2024-10-03,about,32,245.42,0.885,37.0%,39.4%,11,11
2024-10-03,contact,49,503.26,1.045,38.5%,52.2%,43,18
2024-10-03,home,59,671.18,1.262,12.1%,59.3%,8,7
2024-10-03,services,25,252.47,0.784,29.0%,35.4%,13,7
2024-10-03,blog,14,93.57,0.901,41.3%,27.1%,5,5
2024-10-03,faq,6,63.97,0.592,22.1%,43.7%,1,1
2024-10-03,pricing,8,80.02,0.697,61.9%,48.4%,7,4
2024-10-03,testimonials,9,91.83,0.72,69.6%,47.6%,4,6
2024-10-04,about,36,310.82,0.993,29.6%,43.4%,5,10
2024-10-04,contact,55,560.17,0.722,32.5%,24.8%,6,17
2024-10-04,home,57,437.32,1.111,36.9%,21.9%,48,21
2024-10-04,services,24,173.21,0.862,48.6%,48.0%,8,11
2024-10-04,blog,20,166.37,0.796,30.5%,29.0%,1,6
2024-10-04,faq,10,53.75,0.693,43.0%,47.3%,10,4
2024-10-04,pricing,9,86.27,0.578,41.4%,43.5%,2,3
2024-10-04,testimonials,6,49.14,0.903,27.7%,49.7%,4,1
2024-10-05,about,24,195.16,0.813,48.0%,57.6%,22,11
2024-10-05,contact,34,373.59,0.884,48.8%,18.7%,7,16
2024-10-05,home,47,362.56,0.588,53.9%,52.6%,38,25
2024-10-05,services,20,154.94,1.229,45.2%,18.4%,2,9
2024-10-05,blog,10,81.79,0.612,23.8%,20.3%,10,2
2024-10-05,faq,8,83.72,1.021,69.5%,16.4%,2,5
2024-10-05,pricing,7,75.2,0.49,36.5%,51.6%,3,2
2024-10-05,testimonials,6,65.05,0.558,69.6%,43.1%,0,4
2024-10-06,about,22,241.27,0.939,20.2%,30.5%,22,4
2024-10-06,contact,36,382.93,0.922,65.6%,21.7%,27,23
2024-10-06,home,64,659.07,0.953,24.6%,43.6%,21,15
2024-10-06,services,11,101.2,0.77,56.9%,45.4%,3,6
2024-10-06,blog,8,49.97,0.902,33.8%,32.4%,3,2
2024-10-06,faq,10,116.61,0.852,18.5%,20.6%,8,1
2024-10-06,pricing,1,10.07,0.824,44.5%,34.0%,0,0
2024-10-06,testimonials,5,37.01,0.739,32.1%,13.4%,1,1
2024-10-07,about,35,327.7,0.606,66.2%,53.8%,28,23
2024-10-07,contact,35,343.36,0.544,49.0%,17.6%,4,17
2024-10-07,home,67,617.94,0.733,69.0%,22.0%,20,46
2024-10-07,services,18,170.17,0.674,13.7%,35.5%,6,2
2024-10-07,blog,12,116.83,0.594,60.9%,46.2%,4,7
2024-10-07,faq,14,115.35,0.566,34.8%,51.4%,4,4
2024-10-07,pricing,9,86.62,1.015,21.9%,13.2%,3,1
2024-10-07,testimonials,5,50.49,0.552,58.6%,40.7%,4,2
2024-10-08,about,34,271.88,1.008,51.3%,31.9%,28,17
2024-10-08,contact,40,358.9,1.062,33.2%,32.5%,14,13
2024-10-08,home,71,635.79,0.852,12.9%,11.9%,42,9
2024-10-08,services,27,144.43,0.837,37.7%,59.6%,19,10
2024-10-08,blog,17,183.24,0.944,25.9%,11.0%,15,4
2024-10-08,faq,19,188.3,1.062,32.9%,20.3%,16,6
2024-10-08,pricing,6,44.9,0.787,39.2%,56.0%,3,2
2024-10-08,testimonials,2,15.51,0.84,32.6%,37.5%,1,0
2024-10-09,about,30,279.47,0.767,48.7%,24.3%,29,14
2024-10-09,contact,53,463.71,0.857,55.3%,33.0%,7,29
2024-10-09,home,66,705.36,0.64,26.2%,37.0%,12,17
2024-10-09,services,19,194.16,0.916,22.8%,35.3%,11,4
2024-10-09,blog,15,92.27,0.816,43.9%,44.4%,6,6
2024-10-09,faq,9,98.91,0.849,54.5%,54.1%,3,4
2024-10-09,pricing,10,78.23,0.93,67.5%,28.4%,10,6
2024-10-09,testimonials,6,47.9,0.934,18.3%,43.2%,5,1
2024-10-10,about,38,255.04,1.053,57.7%,14.6%,6,21
2024-10-10,contact,45,413.54,0.662,43.7%,38.0%,23,19
2024-10-10,home,64,650.72,0.69,39.9%,13.9%,21,25
2024-10-10,services,28,255.43,1.061,32.4%,16.1%,16,9
2024-10-10,blog,9,101.43,0.926,69.9%,56.7%,0,6
2024-10-10,faq,9,76.28,0.852,34.6%,52.0%,6,3
2024-10-10,pricing,5,41.04,0.954,41.1%,24.9%,4,2
2024-10-10,testimonials,3,20.7,0.239,36.1%,56.9%,3,1
2024-10-11,about,27,241.89,1.154,36.2%,46.5%,5,9
2024-10-11,contact,31,266.25,0.6,65.4%,33.6%,20,20
2024-10-11,home,45,339.09,0.622,24.8%,55.3%,9,11
2024-10-11,services,21,236.02,0.746,13.9%,34.4%,10,2
2024-10-11,blog,21,112.64,0.977,30.8%,55.0%,17,6
2024-10-11,faq,12,128.88,0.725,57.3%,41.2%,4,6
2024-10-11,pricing,8,66.88,0.692,25.1%,52.5%,6,2
2024-10-11,testimonials,8,69.16,1.03,18.5%,43.2%,8,1
2024-10-12,about,27,314.68,0.593,42.7%,13.1%,7,11
2024-10-12,contact,23,133.41,0.793,62.3%,37.2%,3,14
2024-10-12,home,47,445.78,0.75,62.8%,53.5%,26,29
2024-10-12,services,26,248.32,1.118,43.2%,14.7%,2,11
2024-10-12,blog,11,103.93,0.65,59.3%,29.0%,2,6
2024-10-12,faq,4,31.13,0.987,28.7%,42.1%,1,1
2024-10-12,pricing,8,60.54,0.885,36.4%,40.8%,5,2
2024-10-12,testimonials,3,26.96,0.861,17.3%,46.3%,1,0
2024-10-13,about,19,137.11,0.749,10.8%,38.0%,0,2
2024-10-13,contact,26,252.87,0.753,16.6%,48.0%,24,4
2024-10-13,home,41,238.51,0.678,39.7%,51.4%,27,16
2024-10-13,services,18,145.84,1.128,64.3%,47.0%,17,11
2024-10-13,blog,12,125.97,0.714,38.3%,59.0%,2,4
2024-10-13,faq,3,29.11,0.599,69.5%,13.6%,3,2
2024-10-13,pricing,4,42.17,0.537,66.3%,53.6%,0,2
2024-10-13,testimonials,6,38.66,0.345,61.9%,37.3%,2,3
2024-10-14,about,33,278.31,0.797,35.3%,11.4%,22,11
2024-10-14,contact,36,369.54,0.899,68.9%,41.1%,8,24
2024-10-14,home,55,549.4,0.723,16.8%,45.2%,35,9
2024-10-14,services,17,152.5,0.739,28.1%,39.9%,2,4
2024-10-14,blog,18,152.36,0.959,30.4%,59.5%,15,5
2024-10-14,faq,7,63.87,0.707,69.7%,52.8%,6,4
2024-10-14,pricing,6,43.92,0.778,30.4%,18.2%,5,1
2024-10-14,testimonials,6,51.69,0.319,49.1%,57.5%,1,2
2024-10-15,about,31,283.94,0.706,64.4%,21.9%,9,19
2024-10-15,contact,45,303.43,0.952,22.4%,35.8%,37,10
2024-10-15,home,69,651.83,0.858,27.1%,33.1%,48,18
2024-10-15,services,20,162.58,0.971,59.1%,36.6%,6,11
2024-10-15,blog,22,246.86,0.658,62.9%,43.5%,12,13
2024-10-15,faq,11,91.03,0.829,25.5%,13.0%,3,2
2024-10-15,pricing,6,58.61,0.766,50.1%,43.9%,1,3
2024-10-15,testimonials,4,34.19,0.737,48.3%,47.0%,4,1
2024-10-16,about,24,154.9,0.671,39.2%,38.9%,4,9
2024-10-16,contact,36,392.35,0.627,49.1%,52.3%,17,17
2024-10-16,home,58,619.27,0.826,45.4%,21.3%,31,26
2024-10-16,services,33,336.28,0.45,32.3%,40.1%,32,10
2024-10-16,blog,15,125.91,0.826,55.7%,57.3%,2,8
2024-10-16,faq,11,96.52,0.657,28.7%,43.9%,4,3
2024-10-16,pricing,9,79.46,0.769,65.5%,30.7%,2,5
2024-10-16,testimonials,3,26.58,0.846,63.3%,40.1%,3,1
2024-10-17,about,36,265.94,0.866,11.9%,58.5%,21,4
2024-10-17,contact,46,533.54,1.246,55.7%,51.7%,2,25
2024-10-17,home,55,390.93,0.627,68.0%,37.9%,50,37
2024-10-17,services,19,156.13,0.913,56.9%,46.7%,17,10
2024-10-17,blog,16,133.25,0.545,12.4%,33.8%,3,1
2024-10-17,faq,15,172.45,1.112,31.2%,32.9%,5,4
2024-10-17,pricing,11,75.11,0.631,22.2%,48.1%,10,2
2024-10-17,testimonials,10,107.49,0.759,63.6%,13.1%,5,6
2024-10-18,about,30,309.85,0.958,65.8%,11.5%,2,19
2024-10-18,contact,49,369.58,0.524,58.3%,23.9%,29,28
2024-10-18,home,79,647.53,0.971,10.9%,46.9%,24,8
2024-10-18,services,27,261.9,0.897,63.1%,45.0%,7,17
2024-10-18,blog,18,174.7,0.429,47.9%,38.9%,1,8
2024-10-18,faq,14,123.13,0.476,18.7%,45.5%,7,2
2024-10-18,pricing,11,121.45,0.538,17.4%,54.4%,6,1
2024-10-18,testimonials,7,51.61,0.597,43.8%,16.0%,2,3
2024-10-19,about,29,181.25,0.794,18.0%,41.5%,10,5
2024-10-19,contact,27,271.63,0.986,45.6%,54.8%,23,12
2024-10-19,home,49,501.64,0.627,29.0%,15.1%,0,14
2024-10-19,services,12,111.74,1.012,64.4%,57.1%,2,7
2024-10-19,blog,10,111.34,0.985,10.3%,18.3%,4,1
2024-10-19,faq,7,62.96,0.606,33.1%,53.3%,2,2
2024-10-19,pricing,3,24.96,1.09,59.3%,52.5%,3,1
2024-10-19,testimonials,6,60.06,0.767,17.5%,46.9%,5,1
2024-10-20,about,27,206.52,0.928,63.4%,24.4%,2,17
2024-10-20,contact,34,317.72,1.096,16.0%,44.4%,12,5
2024-10-20,home,40,346.92,0.272,34.3%,36.5%,23,13
2024-10-20,services,21,161.73,0.656,17.9%,52.9%,21,3
2024-10-20,blog,36,304.88,0.685,11.1%,24.7%,32,3
2024-10-20,faq,12,99.51,0.72,64.0%,45.5%,12,7
2024-10-20,pricing,9,78.22,0.67,23.5%,19.8%,9,2
2024-10-20,testimonials,7,74.79,0.904,66.8%,26.9%,5,4
2024-10-21,about,34,289.69,0.83,18.8%,10.4%,10,6
2024-10-21,contact,29,306.05,0.643,31.3%,57.5%,13,9
2024-10-21,home,46,401.55,1.075,42.8%,31.6%,29,19
2024-10-21,services,26,271.19,0.791,50.5%,16.8%,10,13
2024-10-21,blog,20,132.06,0.892,36.2%,39.7%,5,7
2024-10-21,faq,7,63.28,0.914,68.6%,47.9%,4,4
2024-10-21,pricing,14,115.71,0.894,40.9%,50.4%,5,5
2024-10-21,testimonials,2,15.61,0.868,27.3%,29.9%,2,0
2024-10-22,about,49,227.74,1.2,48.1%,14.5%,29,23
2024-10-22,contact,56,347.21,1.002,57.3%,22.6%,19,32
2024-10-22,home,62,483.23,0.949,67.4%,17.4%,55,41
2024-10-22,services,22,147.17,1.197,44.8%,35.8%,18,9
2024-10-22,blog,13,144.52,0.719,38.6%,34.9%,3,5
2024-10-22,faq,7,70.83,0.475,12.0%,41.8%,2,0
2024-10-22,pricing,12,98.92,0.784,17.7%,48.3%,8,2
2024-10-22,testimonials,4,41.97,0.767,13.1%,19.6%,3,0
2024-10-23,about,30,299.98,0.893,35.4%,25.1%,29,10
2024-10-23,contact,52,419.9,0.725,30.2%,60.0%,35,15
2024-10-23,home,57,461.83,0.846,42.7%,45.5%,33,24
2024-10-23,services,29,289.29,0.499,27.8%,45.7%,20,8
2024-10-23,blog,18,129.44,0.764,20.8%,14.9%,5,3
2024-10-23,faq,15,149.98,0.884,26.4%,50.4%,12,3
2024-10-23,pricing,7,61.08,0.407,40.4%,29.4%,3,2
2024-10-23,testimonials,3,20.17,0.729,52.3%,50.9%,0,1
2024-10-24,about,36,227.97,0.669,38.9%,15.9%,34,14
2024-10-24,contact,60,556.84,0.846,50.6%,41.3%,1,30
2024-10-24,home,70,561.81,0.954,47.5%,38.6%,15,33
2024-10-24,services,21,150.35,0.713,34.7%,56.7%,4,7
2024-10-24,blog,14,111.22,0.986,36.0%,44.3%,4,5
2024-10-24,faq,4,36.99,0.792,57.1%,46.7%,2,2
2024-10-24,pricing,8,76.66,0.808,43.3%,19.5%,3,3
2024-10-24,testimonials,4,25.52,0.774,27.2%,42.8%,1,1
2024-10-25,about,37,302.66,0.746,45.9%,41.2%,1,16
2024-10-25,contact,40,431.39,1.003,46.6%,25.6%,35,18
2024-10-25,home,54,660.58,0.604,22.8%,57.0%,20,12
2024-10-25,services,20,211.42,1.034,34.5%,10.8%,3,6
2024-10-25,blog,11,122.5,0.94,22.9%,43.2%,9,2
2024-10-25,faq,5,44.01,0.965,25.5%,31.7%,0,1
2024-10-25,pricing,8,60.32,0.425,22.9%,39.9%,1,1
2024-10-25,testimonials,5,41.44,1.065,40.8%,22.7%,2,2
2024-10-26,about,25,250.62,0.758,45.1%,36.9%,16,11
2024-10-26,contact,39,326.41,1.073,62.4%,41.9%,37,24
2024-10-26,home,41,402.11,0.837,13.8%,51.2%,21,5
2024-10-26,services,21,201.49,0.537,34.5%,33.5%,3,7
2024-10-26,blog,8,71.66,0.769,65.4%,15.6%,4,5
2024-10-26,faq,8,94.44,0.403,25.3%,47.1%,3,2
2024-10-26,pricing,7,69.7,0.743,14.7%,51.4%,6,1
2024-10-26,testimonials,6,44.07,0.872,50.4%,19.0%,5,3
2024-10-27,about,23,262.02,0.707,61.8%,36.6%,11,14
2024-10-27,contact,32,253.94,0.548,16.3%,21.1%,8,5
2024-10-27,home,36,296.55,0.668,26.1%,26.8%,27,9
2024-10-27,services,16,153.15,0.958,34.7%,47.7%,1,5
2024-10-27,blog,15,112.19,0.817,46.3%,15.9%,12,6
2024-10-27,faq,14,139.34,0.871,53.9%,44.9%,7,7
2024-10-27,pricing,9,78.51,0.66,58.2%,55.1%,1,5
2024-10-27,testimonials,2,19.49,0.809,14.0%,42.4%,0,0
2024-10-28,about,34,267.71,0.781,53.8%,40.4%,3,18
2024-10-28,contact,44,481.1,0.994,10.5%,20.9%,8,4
2024-10-28,home,67,743.36,0.883,55.1%,50.2%,57,36
2024-10-28,services,29,290.09,0.616,33.2%,43.1%,27,9
2024-10-28,blog,10,71.08,1.198,56.5%,52.6%,4,5
2024-10-28,faq,11,128.85,0.756,26.3%,20.1%,10,2
2024-10-28,pricing,13,142.74,0.945,23.5%,36.4%,11,3
2024-10-28,testimonials,4,39.68,0.906,37.7%,59.2%,3,1
2024-10-29,about,40,335.36,0.699,37.8%,23.2%,20,15
2024-10-29,contact,48,406.4,1.084,22.1%,35.7%,28,10
2024-10-29,home,58,542.35,0.723,58.8%,45.3%,37,34
2024-10-29,services,22,210.16,0.863,69.9%,22.1%,14,15
2024-10-29,blog,14,121.04,0.694,10.9%,10.9%,7,1
2024-10-29,faq,11,116.68,1.204,47.5%,53.2%,9,5
2024-10-29,pricing,8,88.68,0.499,48.0%,33.5%,4,3
2024-10-29,testimonials,6,64.71,1.034,32.4%,57.1%,4,1
2024-10-30,about,37,342.87,0.811,14.2%,37.7%,0,5
2024-10-30,contact,48,472.53,0.624,37.3%,43.4%,28,17
2024-10-30,home,77,672.31,0.546,37.3%,44.3%,37,28
2024-10-30,services,25,183.63,0.737,44.4%,23.9%,3,11
2024-10-30,blog,18,205.96,0.951,14.0%,21.5%,16,2
2024-10-30,faq,14,135.0,0.732,63.2%,19.8%,4,8
2024-10-30,pricing,9,69.93,0.413,33.8%,43.5%,9,3
2024-10-30,testimonials,3,24.03,0.659,38.1%,23.4%,1,1
2024-10-31,about,24,228.01,0.804,20.0%,15.7%,11,4
2024-10-31,contact,40,287.81,0.592,24.0%,16.5%,38,9
2024-10-31,home,57,585.77,1.1,19.4%,33.9%,9,11
2024-10-31,services,25,171.51,0.956,39.3%,14.1%,22,9
2024-10-31,blog,14,107.86,0.523,21.4%,27.4%,1,3
2024-10-31,faq,14,151.7,0.827,69.4%,54.5%,3,9
2024-10-31,pricing,24,242.89,1.191,51.2%,42.9%,24,12
2024-10-31,testimonials,5,46.96,0.549,44.8%,34.5%,5,2
2024-11-01,about,30,336.46,0.566,18.5%,38.5%,27,5
2024-11-01,contact,45,419.41,0.966,44.6%,37.9%,5,20
2024-11-01,home,57,451.62,0.754,43.4%,52.3%,4,24
2024-11-01,services,19,151.55,0.665,62.4%,22.5%,3,11
2024-11-01,blog,54,595.68,0.938,19.1%,32.9%,14,10
2024-11-01,faq,7,64.49,0.915,65.5%,49.3%,4,4
2024-11-01,pricing,10,92.12,0.374,46.9%,55.5%,9,4
2024-11-01,testimonials,9,75.22,0.391,56.4%,55.7%,7,5
2024-11-02,about,21,227.47,0.703,33.5%,47.5%,10,7
2024-11-02,contact,34,363.51,0.836,60.1%,56.4%,21,20
2024-11-02,home,30,274.41,1.059,56.5%,21.7%,10,16
2024-11-02,services,15,162.19,1.141,49.2%,19.6%,11,7
2024-11-02,blog,17,130.32,0.991,26.9%,58.2%,16,4
2024-11-02,faq,7,73.46,0.707,66.1%,19.3%,7,4
2024-11-02,pricing,4,32.13,0.401,64.8%,19.5%,1,2
2024-11-02,testimonials,3,24.08,0.731,66.5%,49.2%,2,1
2024-11-03,about,20,128.78,0.489,63.1%,54.8%,3,12
2024-11-03,contact,28,217.37,0.678,21.1%,27.1%,24,5
2024-11-03,home,50,445.76,0.54,17.0%,44.1%,45,8
2024-11-03,services,19,196.97,0.821,30.6%,46.7%,3,5
2024-11-03,blog,6,71.07,0.844,34.7%,38.0%,3,2
2024-11-03,faq,3,21.91,1.282,17.1%,59.0%,0,0
2024-11-03,pricing,11,87.49,0.951,18.7%,15.8%,8,2
2024-11-03,testimonials,4,24.81,1.006,59.4%,51.0%,2,2
